URL,物件名称,所在地,最寄駅,賃料,管理費,面積,改装可能範囲,原状回復,敷金,礼金,条件,築年,構造規模,契約内容,備考,情報掲載者,取引容態,募集有無,最終確認日,タイトル,詳細
https://www.diyp.jp/room/551,富士商事ビル306,東京都渋谷区桜丘町2-3,山手線「渋谷」駅徒歩1分,"¥338,400",¥0,77.68㎡,室内の躯体の内側、構造に関わる箇所以外,2016年10月1日以降に退去の場合、原状回復義務なし,5ヶ月,なし,オフィス／店舗,1973年,RC造／地上8階建,定期借家契約2017年3月末まで,店舗利用の場合、飲食、美容室、建物内同業種不可。,株式会社PAX,仲介,※募集は終了しております,2015年12月24日,渋谷再開発エリアに建つビル,"渋谷駅周辺の再開発に伴い、将来的に建て壊しが予定されているビルです。地下一階に、富士屋本店という素敵な立ち飲みがあります。17時から空いているので、ぜひ。貸し出しは、定期借家契約で、平成29年3月31日までとなります。もう少し延長できるという噂もちらほらあるのですが、一応この日程で終了と思っていてもらえればと思います。改装については、室内の内側であれば可能です。現状はほぼほぼスケルトンの状態で、一部柱に木の何かが貼付けられていますが、それをとってしまえば、すっきりとした空間になると思います。退去時の原状回復については、平成28年10月1日以降に退去される場合は、原状回復が不要となります。それ以前に解約する場合は、必要となります。よくわからないルールとして、平成28年10月1日以降に退去する場合、引越費用として、¥3,000／㎡がもらえるそうです。お得ですね。事務所利用の他に、店舗も可能です。飲食、美容室、建物内に同業種が入っている業態は不可との事です（ネイル、エステ、整体）。期間は限られていますが、駅からは近いですし、空間的にも使いやすそうでいいなと思いました。"
https://www.diyp.jp/room/601,弁三ビル304号室,神奈川県横浜市中区弁天通３丁目４８,みなとみらい線「馬車道」駅徒歩４分・「日本大通り」駅徒歩６分/JR根岸線「関内」駅徒歩７分・「桜木町」駅徒歩９分,"¥85,000","¥1,000",47.75㎡,室内の構造に関わる箇所以外改装可能,改装工事内容を事前に書面でオーナーに了承を得ることで原状回復義務なし,1ヶ月,１ヶ月,住居／オフィス,1955年01月,RC造４階建,定期借家契約２年(更新可),ペット飼育可(敷金２ヶ月、種類については相談)。保証会社加入要。成約時には仲介手数料として成約賃料の1.08ヶ月分、,株式会社トップノッチ,媒介,※募集は終了しております,2016年06月02日,横浜関内２：横浜ビジネス街のレトロマンション。,横浜関内で働いている方なら、TVKも入る横浜メディアビジネスセンターの前のファミマのビルといえばおそらくわかっていただけるんじゃないでしょうか。１階にはそのファミリーマートの他に、飲食店やバーが入っています。住居部分への入り口は裏口からですが、その裏口が雰囲気たっぷりで、すでに圧倒されます。共用部がゆったりとしたつくりになっていて、今のマンションやビルにはない雰囲気がビシバシ感じられます。素っ気ないほどシンプルな壁面に配管やらメーターやらついている無骨さが歴史を物語っているようです。エレベーターはないので、その雰囲気を楽しみながら階段を上がってください。室内南側は少々床や壁に傷みが見られます。使用に不備があるほどではありませんが、気になる方は仕上げとして塗り直したり貼り直したりしましょう。小さめの洋室がついていますので、そこを純粋プライベートエリア、他のエリアを仕事スペースとしてSOHO的に利用するのもありです。水周りは新しめの設備が入っていますし、特にキッチンは3口のコンロが入っていますので、毎日料理をする方にも使いやすそうです。建物の面する弁天通は街路樹も多く、街中でも気持ちがいい場所です。ビジネス街なので交通の便はよく、徒歩10分以内に２路線４駅利用可能です。海や観光施設も近く、横浜を満喫したい方にもいいと思います。
https://www.diyp.jp/room/651,MAILOTJAUNENOZAKI,大阪府大東市野崎1-12-17,JR学研都市線野崎駅徒歩5分,"¥44,000","¥3,000",33.00㎡,室内の躯体の内側。構造に関わる箇所以外改装可。貸主への許可が必要。,改装工事内容を事前に貸主に承諾を得ることで原状回復義務なし。,0円,0円,住居／オフィス,1978年05月,鉄筋コンクリート造4階建,一般賃貸借契約2年（自動更新）,現況空室なので内覧可能です。現状渡しでの引渡となります。保証会社加入要。成約時仲介手数料として賃料の1.08ヶ月分を頂戴致します。,THEBRIDGE株式会社,媒介,※募集は終了しております,2016年10月27日,②DIY補助50万円まで有。＠大阪府大東市。梅田まで乗り換え無し23分。,"野崎観音のあるJR野崎駅徒歩5分（大阪府大東市）の物件のご紹介です。こちらは2階部分のDIY50万円まで補助有プランになります。写真からもお分かり頂けるようにいい感じに外壁リニュアルされています。「こんな物件が大阪市内中心部でないかなあ。。」という声も聞こえてきそうな気もしますが、実はこの野崎駅、乗り換え無しで梅田（JR北新地駅）まで23分で行くことができる便利なところなのです。郊外に行く分、落ち着いた環境で生活でき、33平米という広さにも関わらず、家賃も44,000円という家計に優しい賃料設定となっています。お部屋は2階の角部屋で南向きバルコニーなので、室内はとても明るいです。別でリノベ済のお部屋もあるので、仕上がりイメージの参考に内覧頂くことも可能です。基本、構造に関わる箇所以外ならなんでもOK。4階はフルでいじられたいエキスパート好み、こちらの2階はこの年代にアルアルな間取りですが、状態は良いので、プチDIY志向になりますかね。近くには大阪産業大学のキャンパスもあるので、一人暮らしに必要となるお店は一通り揃っています。Let'sDIYP!"
https://www.diyp.jp/room/701,-,東京都世田谷区砧6-36-6,小田急線「祖師ケ谷大蔵」駅徒歩1分,"¥117,000","¥5,000",36.00㎡,室内の躯体の内側、構造に関わる箇所以外、改装OK,改装内容によるので、事前相談により決定,1ヶ月,1ヶ月,住居,昭和61年,木造／2階建,普通賃貸借契約2年,成約時仲介手数料として賃料の1.08ヶ月分を頂戴します。,株式会社PAX,仲介,※募集は終了しております,2016年10月27日,祖師ケ谷大蔵改装費用として150万円までオーナ負担あり,祖師ケ谷大蔵の駅から近いです。建物の2階部分ワンフロアーで、1階は、銀行のATMなどがあります。元々は事業用として貸出されていたスペースらしいのですが、今回は住居での募集となりました。なので、お風呂とかキッチンとかないです。改装費用として、上限150万円までをオーナーさんの方で補助してくれるそうなので、その予算を利用して、室内を整えて頂ければと思います。現状はなにもないので、とりあえずお風呂とキッチン作って、壁に塗装したり、床にフローリング貼ったりなどなど、自由に設えてもらえればと思います。改装前に、プランをオーナーさんの方に確認をして下さい。退去時の原状回復についても、その際に取り決める形となります。駅から近いので、便利だと思います。
https://www.diyp.jp/room/751,代々木村田マンション411号室,東京都渋谷区代々木4-28-8,JR山手線「新宿」駅徒歩10分、京王線「初台」駅徒歩4分、小田急線「参宮橋」駅徒歩6分,"¥140,000",¥0,46.86㎡,室内の躯体の内側、構造に関わる箇所以外、改装OK.,改装工事内容を事前にオーナーに了承を得ることで原状回復義務なし,1ヶ月,1ヶ月,住居／オフィス,1965年,RC造／地下1階地上8階建,普通賃貸借契約2年,事務所利用の場合は、賃料に消費税が加算されます。,株式会社PAX,仲介,※募集は終了しております,2017年02月27日,代々木村田マンション80室以上ある全ての部屋が改装可能,建物は、外観からしてクリエイティブな雰囲気が漂い、古い学校のようなルックスがとても魅力的です。代々木村田マンションといえば、知る人ぞ知る「クリエイティブ系」の方が多く入居するはしりのようなビルとして有名で、今でも入居者には建築事務所や写真家の方のアトリエ等が多くあり、入居者同士のコミュニティーもとても楽しそうです。人気の秘密は、もちろん室内を改装できるという事と、建物全体の雰囲気及び、室内の間取りが広く抜けており、空間としてとても魅力的であるという事があげられると思います。改装できる範囲としては、基本的に躯体の内側であればOKで、壁にペイントをしたり、棚を付けたり、床を張り変えたり、キッチンを新しくしたりといった事などが色々と可能です。退室時の原状回復に関しては、改装を行う前に改装したい内容をオーナーさんの方に提出し、了承を得た範囲に関しては必要ありません。了承を得ずに改装をしたものに関しては原状回復の対象となりますので、お気をつけ下さい。既に建物内のほぼ全てのお部屋が改装して利用されているので、オーナーさんも、管理事務所の方も、改装についての理解は高いです。411号室は、お風呂がついており、住居としての利用が可能です。以前の住人の方が造られた、大きめのクローゼットが部屋の中央にあります。この状態を活かすのもありですし、まるっと全体をやり変えるのも大丈夫です。
https://www.diyp.jp/room/801,ヤマダビル1F,東京都目黒区上目黒2-42-1,東急東横線「中目黒」駅徒歩7分,"¥324,000",¥0,48.95㎡,躯体の内側,改装内容によるので、事前相談により決定,10ヶ月,1ヶ月,オフィス／店舗,1992年,鉄骨造／4階建,定期建物賃貸借契約5年,飲食店不可。成約時仲介手数料として賃料の1.08ヶ月分を頂戴します。,株式会社PAX,仲介,※募集は終了しております,2017年06月01日,中目黒銀座商店街1階スケルトン,中目黒銀座商店街沿いに建つ建物の１階です。現状はスケルトンになっています。飲食店は不可らしいのですが、物販店舗やギャラリー、事務所なんかにも場所柄良さそうに思いました。天井高もちょい高めです。商店街の奥の方ですが（中目黒を背にして、ジャンティークより奥、ジャンカデリックより手前です）、この辺りの方が少し静かでいいかもと思いました。
https://www.diyp.jp/room/851,ロイヤルテラス503号室,東京都渋谷区上原1-32-5,小田急小田原線・メトロ千代田線「代々木上原」駅徒歩1分,"¥270,000","¥5,400",39.20㎡,構造に関わる箇所以外改装可,改装内容によるので、事前相談により決定,0ヶ月,0ヶ月,オフィス／店舗,1963年08月,鉄筋コンクリート造／地上６階建,定期建物賃貸借契約（再契約相談可）,平成35年3月建物解体予定。別途水道料有。保証会社加入必須。成約時には仲介手数料として1.08ヶ月を頂戴します。,株式会社PAX,仲介,※募集は終了しております,2017年07月15日,代々木上原平成35年3月解体予定都心を一望ルーフバルコニー付き,エレベーターなし、５階。正直しんどいですが、それと引き替えに絶景を手にすることができます。代々木上原駅から徒歩１分。駅を降りてから、急な坂を登った所にある物件です。１階には雰囲気のある飲食店などが入っていました。植栽も素敵でいい感じです。住居だけでなく、デザイン系の事務所やサロンなどが入っているようです。建物自体が洗練された雰囲気があるので、デザイン系の事務所とかにもいいですし、物販店なんかも結構いいのかな、と思いました。何と言っても一番の魅力は、専有のルーフバルコニーです。割と広さもありました。植物をいろいろ育ててみたり、いっそベンチや机とかをここで作ってみたりたりするのも楽しそうですね。平成35年3月建物解体予定のため、定期建物賃貸借契約となります。初期費用も抑えめです。
https://www.diyp.jp/room/901,SodaCCo3T04,東京都渋谷区代官山町9-10,東急東横線「代官山」駅徒歩8分,"¥235,440",¥0,40.00㎡,室内の内側の変更。事前確認必要。,原状回復必要,6ヶ月,1ヶ月,オフィス,1973年,RC造／地上6階建,定期建物賃貸借5年,成約時仲介手数料として賃料の1.08ヶ月分を頂戴します。,株式会社PAX,仲介,※募集は終了しております,2017年09月04日,代官山SodaCCo,代官山、八幡通りから路地を入った先にある建物です。一棟全体がリノベーションされ、入り口周りに木が植えられ、駐輪スペースやウッドデッキなど、空間がゆったりと取られています。2階部分にカフェがあり、イベントスペースがあったり、上階には、クリエイター向けのシェアオフィス「co-lab」あります。全体的に動的な賑やかな印象の建物でした。屋上のスペースも利用できます。貸し室は3階にあり、「SHOWROOMOFFICE」と名付けられたフロアーにあります。廊下に対して一面ガラスとなっており、外に向かって開放的なオフィス空間となっています。スケルトンの床や高めの天井も自由な雰囲気があります。改装については、事前相談の上、行っていただく形となります。他のお部屋は、室内に壁を建てたり、塗装をしたりしてカスタムを行なっているそうです。シンプルな内装になっているので、壁への塗装は印象が変わって面白いかもと思いました。退去の際は、現状への戻しが必要となります。まずは、建物全体的な雰囲気を感じて頂き、ここならもっと楽しく仕事ができそうだぞと思った方に、ぜひご利用頂ければと思います。【SodaCCo】http://sodacco.jp/【co-lab】http://co-lab.jp/
https://www.diyp.jp/room/951,パティオ綱島３号館401号室,神奈川県横浜市鶴見区駒岡5-9-28,東急「綱島」駅からバス10分徒歩2分/JR「鶴見」駅からバス20分徒歩2分/JR「川崎」駅からバス20分徒歩2分,"¥103,000","¥8,000",52.25㎡,室内の構造に関わる箇所以外改装可能,改装工事内容を事前に書面でオーナーに了承を得ることで原状回復義務なし,0ヶ月,1ヶ月,住居,1991年03月,RC造６階建,普通賃貸借2年(更新可),"保証会社加入要、クリーニング32,400円、鍵交換費用16,200円",株式会社トップノッチ,媒介,※募集は終了しております,2017年10月30日,横浜綱島：川沿いマンション、いい感じにDIY済み,前の人が施工したDIYを見るのが好きです。実際に使いながらその人にとって一番使いやすいように、かっこいいように仕上げてあるのを見ると、プロが設計施工したものよりリアルで正直な感じがわかるからです。他の誰のものでもない「自分の城!」というプライドみたいなものが溢れ出て、仕上がりのムラやちょっとした隙間なんかどうでもいい気になります。ということで、前回募集時には壁をとっぱらい、床などはスラブあらわしの状態のまま入居した方が自分で床を貼ったり壁を作ったりしたお部屋です。床材はあえてフローリング材ではなく普通の板材、キッチン周りの一部は今もスラブそのままの状態です。壁の色も多色で仕上げてありますがグリーン系で統一されているのでごちゃごちゃ感はありません。RC(鉄筋コンクリート)のDIYは難しいと思っている方も、ここまで仕上がっていればなんとなく自分でもできそうって自信が湧いてきませんか。このままで住んでももちろんかっこいいし、ここからさらに手を加えて、「自分の城！」にしてもらうのも大歓迎です。現地のご案内は大家さんが担当しますので、どこまでDIYしていいかのご相談もその場でできて安心です。
https://www.diyp.jp/room/1051,代々木防雷ビル,東京都渋谷区代々木1-36-12,JR山手線・中央線・総武線・都営大江戸線「代々木」駅徒歩2分,"¥2,840,000",¥0,570.63㎡,構造に関わる箇所以外,改装内容によるので、事前相談により決定,10ヶ月,0ヶ月,オフィス／店舗,1965年03月,RC造／地下１階地上６階建,定期借家契約5年（再契約相談可）,賃料は課税額です。成約時仲介手数料として賃料の1ヶ月分（税別）を頂戴します。契約年数も相談可能。,株式会社PAX,仲介,,2018年03月23日,代々木駅徒歩２分地上１階〜６階ビルスケルトン工事相談可,＊＊GOODPOINT＊＊代々木駅徒歩２分！１階から６階まで一括貸し！屋上付き。-----代々木駅から徒歩２分。駅前のマクドナルドが入っているビルのお隣です。１階から６階までの一括貸しです。元は事務所で、５階６階は社員寮として使用されていた建物だそうです。古いので、全面的に改装が必要になります。改装については、構造に影響のない範囲であれば自由度はかなり高いです。道路側の窓面が大きく、３階以上は割と明るめでした。バルコニーや屋上があるのも嬉しいポイントです。普通のオフィスと比較すると天井も高めですし、かなりいい感じになるポテンシャルを持ち合わせている物件です。これだけの規模感のもの、滅多にないのでオフィスの移転など検討されていた方にはぜひお勧めしたいです。
https://www.diyp.jp/room/1101,嶋村店舗,東京都中野区中野3-35-5,JR中央線他「中野」駅徒歩3分,"¥216,000",¥0,29.70㎡,室内の内側,スケルトン戻し,5ヶ月,1ヶ月,オフィス／店舗,,木造／２階建,普通賃貸借契約3年,成約時仲介手数料として賃料の1.08ヶ月分を頂戴します。保証会社への加入必須。,株式会社PAX,仲介,※募集は終了しております,2018年05月14日,中野スケルトン店舗飲食業可,中野駅の近くに、ご飯屋さんや飲み屋さんが集積しているエリアがあります。細道の先にある一戸建てがスケルトンの状態で貸し出されています。トイレは新しいものが設置されていますが、それ以外は何もついていないです。元々飲食系の店舗だったらしい痕跡が1階の床に残されています。階段を登って2階に行くと、木造の古い雰囲気が残されています。壁は新しく貼り直されたコンパネの板と、元々の状態の赤っぽい壁が混在しています。横丁的な周辺の雰囲気が面白いので、飲食店や、あえての事務所というのも良さそうな感じでした。
https://www.diyp.jp/room/1151,山本ビル1F&2F,東京都文京区水道2-3-24,東京メトロ有楽町線「江戸川橋」駅徒歩8分、東西線「神楽坂」駅徒歩11分,"¥400,000",¥0,227.60㎡,室内の内側,改装内容によるので、事前相談の上決定,3ヶ月,1ヶ月,オフィス／店舗／その他,1971年,RC造／4階建,定期借家契約5年,成約時仲介手数料として賃料の1.08ヶ月分を頂戴します。,株式会社PAX,仲介,※募集は終了しております,2018年06月07日,文京区水道山本ビル1F&2F元印刷工場駐車場付き,雰囲気抜群だけど、色々ある元印刷工場です。1階と2階がセットで貸し出されています。1階は天井高が3.5Mあり、2階は2.8Mの高さがあります。外には駐車場1台分のスペースがあります。227㎡あって40万円は、なかなかに金額が抑えめのように思うのですが、以下の点が注意点としてあります。1、まず、雨漏りしている箇所があります。貸主の方では直してくれないので、これが一番の注意点です。2、定期借家契約で5年間の貸し出しとなり、5年後の延長は想定してないとの事です。3、給排水設備が現状は使えているのですが、洗面台とかトイレとか、使えてなくなっても貸主の方では直してくれないそうです。4、現状渡しとなり、エアコンなどはないです。借主の方で設置していただく事となります。ダムヴェーターも今のところは使えているそうですが、壊れても貸主の方では直してくれないです。以上4点の他に、現状綺麗な状態という訳ではないので、ペイントしたり、色々あるかと思うのですが、それらをまるっとひっくるめて、金額を安めに設定してますとの事です。スペース的には、撮影やものづくり系のスタジオなどに良さそうな感じでした。諸々含めて、越えていける方に、おすすめの物件です。
https://www.diyp.jp/room/1201,浅草２丁目一棟,東京都台東区浅草2-29-12,メトロ銀座線「浅草」駅徒歩8分,"¥112,400",¥0,35.19㎡,構造に関わる箇所以外,改装内容によるので、事前相談により決定,5ヶ月,0ヶ月,住居／オフィス／店舗,1988年04月,鉄骨造／３階建,定期借家契約５年,成約時には仲介手数料として1.08ヶ月を頂戴します。ペット飼育相談可。,株式会社PAX,仲介,※募集は終了しております,2018年07月10日,浅草コンパクトな一棟ビル,GOODPOINT＊＊浅草浅草寺近く！珍しいコンパクトな一棟ビル。軽飲食など、用途相談ください。-----観光客で溢れかえっている浅草寺。その裏手にある３階建の一棟ビルです。小さな飲食店などが付近にあります。インバウンド向けの変わったお店もあって結構面白かったです。各フロア13平米。かなりコンパクトになっています。観光客向けの物販店などに向いていると思います。クラフト系のアトリエ店舗、ギャラリーなんかもいいと思いました。
https://www.diyp.jp/room/1251,MKBldg.,東京都練馬区豊玉北3-12-11,西武池袋線「桜台」駅徒歩7分、西武池袋線「江古田」駅徒歩8分、都営大江戸線「新江古田」駅徒歩9分,"¥520,000","¥20,000",187.23㎡,"1,2階部分/構造に関わる箇所以外。3,4階/",改装内容によるので、事前相談により決定,4ヶ月,0ヶ月,住居／オフィス／店舗,1998年03月,RC造／地上４階建,普通賃貸借契約２年,賃料は課税されます。保証会社加入必須。24時間サポート,株式会社PAX,仲介,※募集は終了しております,2018年08月11日,江古田４階建一棟ビル１−２Fスケルトン,江古田にある一棟ビルです。1-2階部分が店舗/事務所仕様でスケルトンとなっています。大通りに面していて、開口部も大きく視界性もいい感じです。螺旋階段があったりと、面白くデザイン性高く使ってもらえそうです。3-4階部分は住居仕様になっています。住居としての利用ももちろん、事務所使用なども相談可能とのことです。住居部分はかなりしっかりリノベされています。キッチンや浴室など、設備類は充実しています。４階に３つの個室があるので、シェアして使用するのも良さそうです。各部屋クローゼットとエアコンがついています。都心部からは少し離れますが、駅周辺にお店もたくさん有り便利かと思います。
https://www.diyp.jp/room/1301,かどやビル3階,東京都中央区有楽町1-3-8,JR線「有楽町駅」徒歩2分、日比谷線「日比谷駅」徒歩2分、丸の内線「銀座駅」徒歩5分,¥0,¥0,35.07㎡,貸主と相談,改装内容によるので、事前相談により決定,3ヶ月,1ヶ月,オフィス／店舗／その他,1962年07月,ＲＣ造/地下1階地上5階建,定期借家契約2年(再契約型),保証会社加入必須。成約時仲介手数料として賃料の1.08ヶ月分を頂戴します。表記賃料に別途課税されます。,株式会社PAX,仲介,※募集は終了しております,2018年09月13日,有楽町視認性の良い雑居ビル3階専有店舗/事務所,有楽町駅のガード下すぐ、飲み屋街にある雑居ビルワンフロアの募集です。年期を感じる共用階段で3階へ、ドアを開けると、建物の外観からは想像できない、洗練された空間になっていました。真っ白な壁天井と明るい色のモルタル床のシンプルな仕上がりで、まるでギャラリーか何かに来た様な気分です。キッチンもオールステンレスのスタイリッシュな雰囲気でした。ただし、建物が山手線の線路横に位置し、目線の高さも線路と合ってしまっているゆえに、電車の気配を常に感じるつくりになっています。サッシが二重になっているため、走行音は許容できるレベルかとは思いますが、これは好みが分かれそう。ちなみにトイレは上階と共用で、階段の踊り場部分にありました。とはいえ、日比谷駅、有楽町駅どころか、東京駅や銀座駅も徒歩圏内という、こんなに便利な立地もなかなか無いでしょう。神経質でない方にはきっと気に入ってもらえると思います。
https://www.diyp.jp/room/1351,フリーレント扇,東京都足立区扇2-7-23,日暮里舎人ライナー「扇大橋」駅徒歩5分,"¥29,000","¥1,000",24.75㎡,構造に関わる箇所以外,事前にオーナーの承諾を得た改装工事は原状回復義務なし,1ヶ月,0ヶ月,住居／オフィス／その他,1970年10月,木造／２階建,定期借家契約,成約時には仲介手数料として1.08ヶ月を頂戴します。,株式会社PAX,仲介,※募集は終了しております,2018年10月18日,扇大橋アパート２階２Kタイプ２階の一括貸しもOKです,なかなか面白い物件が出ました！２階建のアパートの２階部分。風呂なしの２Kタイプのお部屋が４部屋。こちらが全室入居者を募集しています。各部屋若干平米数は異なりますが、24.5平米〜27.2平米。１室借りるもよし、４室借りて２階全てをまとめて使うなど色々用途は相談可能です。（４部屋借りても、12万円！）お風呂がないので、事務所やアトリエ的な使い方が現実的に思います。壁を抜いて全てのお部屋を繋げて使ってみたりとかも楽しそうですね。結構な大きさになるので面白くなりそうです。将来的に取り壊しの予定もあるので、建物の構造的に影響がなければ、色々とチャレンジしてみてOKという感じ。最寄り駅の扇大橋は、日暮里舎人ライナーで西日暮里駅から約６分、と意外とアクセスも悪くありません。しかも５〜６分おきに電車がくるのでかなり便利ではありませんか。賃料も手頃なので、都内で自宅とは別にアトリエや作業場所を探していた方には結構便利に使ってもらえるのではないかと思います。友達何人かと借りて、実験的な場所としても楽しめそうに思います。
https://www.diyp.jp/room/1401,メイクハウス西新井,東京都足立区本木2-8-11,東武スカイツリーライン「西新井」駅徒歩15分,"¥145,000","¥5,000",84.37㎡,構造に関わる箇所以外,改装内容によるため貸主と事前相談,１ヶ月,0,住居／オフィス,1968年01月,木造/２階建,普通賃貸借契約２年,"保証会社加入必須。鍵交換代16,200円。24時間サポート16,200円(税込み)。1年未満の解約は違約金として賃料の1ヶ月分を頂きます。成約時仲介手数料として賃料の1.08ヶ月分を頂戴します。",株式会社PAX,仲介,,2018年11月15日,西新井1階店舗住居広い土間,東武スカイツリーライン西新井駅から歩いて15分。閑静な住宅街に佇む1階店舗戸建てのご案内です。1階は店舗＋住居スペース。店舗利用はもちろん、アトリエやバイクいじりにもいいですね。倉庫付きなのも嬉しいところです。2階は少し変わった間取りでキッチン付きのお部屋が3つあり、この間取りを活かして数人でシェアするもよし、繋げて大きなワンルームにするもよし。工夫次第で楽しめそうです。全体的に少し手を掛けてあげる必要がありますが、工夫次第で様々な楽しみ方ができそう。腕がなりますね。----------店舗物件をお探しの方は、こちらもぜひご覧ください↓↓◉東京にある店舗物件検索サイト◉SHOPSTOKYO（ショップストウキョウ）http://shopstokyo.jp----------
https://www.diyp.jp/room/1451,池川ビル,東京都杉並区阿佐谷南3-34-16,JR中央線・総武線「阿佐ヶ谷」駅徒歩2分,"¥750,000",¥0,296.67㎡,構造に関わる箇所以外,改装内容によるので、事前相談により決定,6ヶ月,1ヶ月,オフィス／店舗,1980年07月,鉄骨造／４階建,普通賃貸借契約３年,賃料は課税されます。更新料：新賃料の２ヶ月分。成約時仲介手数料として賃料の1.08ヶ月分を頂戴します。,株式会社PAX,仲介,,2018年12月14日,阿佐ヶ谷駅徒歩２分駅前商店街の４階建一棟業種用途相談OK,ネパール系のインターナショナルスクールだった物件。なるほど、だから「エベレスト」なのか。と納得。壁には可愛らしい絵や地図など色々残っていてとてもほのぼのします。スクールっぽい希望感のお部屋がいくつかあって、手洗い場やトイレなどがありました。各部屋にホワイトボードなどがあるのもまたいいです。各部屋には窓が多くあり、どの部屋も明るくて健康的。いい「気」の流れている物件だなぁと思いました。４階にはルーフバルコニーがあって、阿佐ヶ谷の街を見渡すことができます。気持ちがいい空間でした。駅からも近く、なかなかの規模感です。事務所としてはもちろんのこと、１階を飲食店にして、２階以上はコワーキングスペースにしたりとか。用途についてはなんでも相談して下さいということでした。※検査済証はありません。----------店舗物件をお探しの方は、こちらもぜひご覧ください↓↓◉東京にある店舗物件検索サイト◉SHOPSTOKYO（ショップストウキョウ）http://shopstokyo.jp----------
https://www.diyp.jp/room/1501,-,東京都中央区日本橋大伝馬町14-8,日比谷線「小伝馬町」駅徒歩4分、都営新宿線「馬喰横山」駅徒歩4分,"¥252,500",¥0,51.55㎡,室内の内側,改装内容によるため貸主と事前相談,6ヶ月,1ヶ月,オフィス／店舗,1959年,RC造／４階建,普通賃貸借契約2年,成約時には仲介手数料として1.08ヶ月を頂戴します。2019年2月上旬より入居可。保証会社加入必須。,株式会社PAX,仲介,,2019年01月19日,小伝馬町1階,小伝馬町の駅から遠くないところにある、建物の1階です。大通りには面していないので、少し静かですが、周辺には、ゲストハウスや、ホテルが新しくでき、小さく素敵なお店も色々とあります。物販店舗やギャラリーなどの他、オフィスとしての利用にも良さそうでした。
https://www.diyp.jp/room/1551,護国寺ビル,東京都文京区目白台3-25-14,有楽町線「護国寺」駅徒歩4分,"¥1,000,000",¥0,147.34㎡,内容によるため貸主と要相談,原則として回復義務あり,３ヶ月,-,オフィス／店舗,2003年03月,鉄筋コンクリート造/地下1階付き地上6階建,定期借家契約3年(再契約相談可能),解約予告は6ヶ月前です。再契約時には新賃料1ヶ月分の手数料が掛かります。飲食店は不可です。現況と写真に相違がある場合は現況を優先いたします。賃料は課税されます。成約時仲介手数料として賃料の1.08ヶ月分を頂戴します。,株式会社PAX,仲介,,2019年02月05日,"護国寺ビル1,2階防音設備完備","不忍通り沿いのデザイナーズビル1,2階部分になります。対象テナントは防音施工されており、入り口は映画館のような2重扉で区画されています。2階部分はロフトのような構造になっており、共用部に出ずに行き来可能です。防音施工ですから音を出してもいいですし、逆に無音の展示スペースにしても様になるかと思います。"
https://www.diyp.jp/room/1601,磯子栗木の家,神奈川県横浜市磯子区栗木１丁目５−１０,JR根岸線「洋光台」駅徒歩19分京急線「杉田」駅から徒歩14分,"¥105,000",¥0,78.28㎡,室内の構造に関わる箇所以外改装可能,改装工事内容を事前に書面でオーナーに了承を得る際に原状回復について相談。,１ヶ月（事業用の場合は３ヶ月）,１ヶ月,住居,1974年04月,木造２階建,定期借家契約２年（再契約相談可）,成約の際には仲介手数料として1.08ヶ月分、再契約の際には再契約料として新賃料の１ヶ月分を頂戴します。地域のゴミ当番等あり。ペット飼育相談可(飼育の場合には敷金＋１ヶ月),株式会社トップノッチ,媒介,※募集は終了しております,2019年02月23日,杉田：庭付きピースフル戸建駐車場付き,静かな住宅街。立地は角地。L字型の建物で、駐車場もありの戸建です。戸建のいいところをギュッと詰めたような物件で、大きめの庭にはいろんな植物がうわり、各部屋は南側の窓からの光で明るくて、2階のバルコニーも洗濯物を干してもまだスペースがあるくらいゆったりしています。晴れた日にはこのバルコニーや玄関前から富士山も見えます。ディテールを見ていくと、猫専用の出入り口があったり、掘りごたつがあったり、収納量も多いので、実用的かつ生活の楽しさが感じられる空間となっています。ちょくちょく修繕をされていましたので、トイレやキッチン、外壁なども現状きれいです。もちろん細かいところで傷みがないわけではないのでぜひ現地ご確認を。ちなみに近隣のゴミ当番なんかも回ってくるので、ご近所の方とも仲良くなるチャンスがあります。ご近隣と仲良く住んでいくタイプをご希望の方におすすめです。
https://www.diyp.jp/room/1651,インペリアル渋谷神泉フラット101,東京都渋谷区神泉町16-11,井の頭線「神泉」駅徒歩３分山手線「渋谷」駅徒歩12分,"¥145,000",¥0,42.30㎡,内容によるため貸主と要相談,内容によるため貸主と要相談,１ヶ月,１ヶ月,住居／オフィス,1983年10月,鉄筋コンクリート造/4階建,普通賃貸借契約２年,"住居兼事務所の場合、敷金2ヶ月。更新料は新賃料1ヶ月分。鍵交換費15,000円。事業用途の場合、賃料は課税されます。現況と写真に相違がある場合は現況を優先いたします。成約時仲介手数料として賃料の1.08ヶ月分を頂戴します。",株式会社PAX,仲介,※募集は終了しております,2019年05月01日,神泉SOHO可ぐるっとテラス,渋谷の住宅街といえば神泉・松濤。渋谷徒歩圏内、神泉から改装可能マンションのご紹介です。立地はまさに閑静な住宅街。ちょっとレトロで日本的でない空気感。玄関もフラットです。北窓なので日当たりはそこまでですが、逆にこの雰囲気に合う優しい明るさでした。所在階は1階。テラスにぐるっと囲われている為、数字以上に広く感じるかと思います。SOHO可能なので、こんなお家でじっくり作業するのもいいな〜。
